IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,FLAG PRIOR LAST VOYAGE,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL,USD/TON,SINGLE HULLED,NEXT TO LAST,DATE OF CHANGE,SUB-TYPE OF SHIP,DATE SOLD FOR BREAKING,FORMER NAME,COMMENT
7816915,Leik,Fishing vessel,634.0,,1978.0,Norway,,Leik AS,Norway,Leik AS,Leik AS,,Grenaa,Denmark,2014-10-08 00:00:00+00:00,,,,,,,,
7210874,Linda,General Cargo,2586.0,,1972.0,Norway,,Odd Wagle,Norway,Odd Wagle,Wagle Holding AS,,Grenaa,Denmark,2014-07-25 00:00:00+00:00,,,,,,,,
8007183,Helene,General Cargo,5938.0,,1980.0,Faroe Islands,,Per Storesletten Rederi AS,Norway,Per Storesletten Rederi AS,Timber Line II AS,,Grenaa,Denmark,2014-12-08 00:00:00+00:00,,,,,,,,
8204975,Taiko,Vehicle Carrier,66635.0,,1984.0,Norway (Int. Register),,Wilh. Wilhelmsen ASA,Norway,Wilh. Wilhelmsen ASA,Wilhelmsen Lines Shipowning AS,,Jiangyin,China,2014-08-21 00:00:00+00:00,,,,,,,,
7824601,Tone,Fully Cellular Containership,5378.0,,1979.0,St. Kitts-Nevis,,Per Storesletten Rederi AS,Norway,Per Storesletten Rederi AS,Timber Line II AS,,Klaipeda,Lithuania,2014-05-20 00:00:00+00:00,,,,,,,,
7612228,Artictrans,General Cargo,1242.0,,1977.0,Norway,,Geir Hokland AS,Norway,Geir Hokland AS,Arctic Shipping AS,,,Norway,2014-03-30 00:00:00+00:00,,,,,,,,
7423055,Breki,Fishing vessel,924.0,,1976.0,Russia,,Vega Seafoods AS (Konkurs),Norway,Vega Seafoods AS (Konkurs),Breki Limited,,,Norway,2014-04-22 00:00:00+00:00,,,,,,,,
8204963,Texas,Vehicle Carrier,66635.0,,1984.0,Norway (Int. Register),,Wilh. Wilhelmsen ASA,Norway,Wilh. Wilhelmsen ASA,Wilhelmsen Lines Shipowning AS,,,China,2014-05-31 00:00:00+00:00,,,,,,,,
8413851,Baru,Chemical Tanker,43733.0,,1986.0,Marshall Islands,,Torvald Klaveness Group,Norway,Torvald Klaveness Group,Grieg Green AS,,Zhangjiagang,China,2014-03-18 00:00:00+00:00,,,,,,,,
8513015,Kaghan,Bulk carrier,36098.0,,1986.0,Pakistan,,Government of Pakistan,Pakistan,Pakistan National Shipping Corporation (PNSC),Kaghan Shipping (Private) Limited,,Gadani,Pakistan,2014-08-26 00:00:00+00:00,,,,,,,,
7436636,Perseus K.,General Cargo With Container Capacity,5981.0,,1974.0,Panama,,Bullock Offshore Incorporated,Panama,Bullock Offshore Incorporated,Bullock Offshore Incorporated,,Aliaga,Turkey,2014-01-21 00:00:00+00:00,,,,,,,,
7926370,Maria I,Cargo/Training,10908.0,,1981.0,Sao Tome & Principe,Panama,Green Ocean Management,Panama,Green Ocean Management,Phoenician Shipping S.A.,,Aliaga,Turkey,2014-06-30 00:00:00+00:00,,,,2014-04-02 00:00:00,,,,
8127684,Atlas Enterprise,Storage Barge,12941.0,,1968.0,Liberia,,Hispacem S.A.,Panama,Hispacem S.A.,Hispacem S.A.,,Aliaga,Turkey,2014-04-22 00:00:00+00:00,,,,,,,,
8314548,Gazelle Coast,General Cargo With Container Capacity,4292.0,,1984.0,Papua New Guinea,,Consort Express Lines Proprietary Limited,Papua New Guinea,Consort Express Lines Proprietary Limited,Consort Express Lines Proprietary Limited,,Jiangyin,China,2014-03-21 00:00:00+00:00,,,,,,,,
8518091,Sepik Coast,General Cargo,1951.0,,1986.0,Papua New Guinea,,Anton Lee Transport Proprietary Limited,Papua New Guinea,Anton Lee Transport Proprietary Limited,Anton Lee Transport Proprietary Limited,,Kolkata,India,2014-11-16 00:00:00+00:00,,,,,,,,
8903208,Virgen Maria B.,Gas Carrier,7297.0,,1991.0,Panama,,Transgas Shipping Lines SAC,Peru,Transgas Shipping Lines SAC,Water Edge Investment Corporation,,Alang,India,2014-10-27 00:00:00+00:00,,,,,,,,
8215716,Iron Butterfly,RoRo,4284.0,,1983.0,Sierra Leone,,Fastcraft Marine Limited,Philippines,Fastcraft Marine Limited,Crown Diamond Holdings Limited,,Alang,India,2014-02-27 00:00:00+00:00,,,,,,,,
9002714,Sun,Fully Cellular Containership,53359.0,,1993.0,Philippines,,Seafarers Shipping Incorporated,Philippines,Seafarers Shipping Incorporated,Sinbanali Shipping Incorporated,,Alang,India,2014-04-11 00:00:00+00:00,,,,,,,,
9002726,Round,Fully Cellular Containership,53359.0,,1993.0,Philippines,,Seafarers Shipping Incorporated,Philippines,Seafarers Shipping Incorporated,Taurus Carrier Corporation S.A.,,Alang,India,2014-07-06 00:00:00+00:00,,,,,,,,
9001332,Road,Fully Cellular Containership,53359.0,,1993.0,Philippines,,Seafarers Shipping Incorporated,Philippines,Seafarers Shipping Incorporated,Sinbanali Shipping Incorporated,,Alang,India,2014-06-08 00:00:00+00:00,,,,,,,,
8400488,Lorcon,General Cargo,5589.0,,1984.0,Tuvalu,Philippines,Lorenzo Shipping Corporation,Philippines,Lorenzo Shipping Corporation,Lorenzo Shipping Corporation,,Chittagong,Bangladesh,2014-05-23 00:00:00+00:00,,,,2014-04-01 00:00:00,,,,
7518393,Joseph,Passenger,6090.0,,1976.0,Philippines,,Negros Navigation Company Incorporated,Philippines,Negros Navigation Company Incorporated,Negros Navigation Company Incorporated,,Chittagong,Bangladesh,2014-03-09 00:00:00+00:00,,,,,,,,
